Precinct,1st Choice,2nd Choice,3rd Choice,Count,1st Choice_Race,2nd Choice_Race,3rd Choice_Race
MINNEAPOLIS W-5 P-08,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-08,Blong Yang,Jeremiah Ellison,Cathy Spann,1,asian,black,black
MINNEAPOLIS W-5 P-08,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-08,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-08,Blong Yang,Jeremiah Ellison,Cathy Spann,1,asian,black,black
MINNEAPOLIS W-5 P-08,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,black,black,asian
MINNEAPOLIS W-5 P-08,Raeisha (RA) Williams,Jeremiah Ellison,Cathy Spann,1,black,black,black
MINNEAPOLIS W-5 P-08,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-08,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,black,black,asian
MINNEAPOLIS W-5 P-08,Raeisha (RA) Williams,Cathy Spann,Jeremiah Ellison,1,black,black,black
MINNEAPOLIS W-5 P-08,Blong Yang,Cathy Spann,Jeremiah Ellison,1,asian,black,black
MINNEAPOLIS W-5 P-08,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-08,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-08,Jeremiah Ellison,,,1,black,,
MINNEAPOLIS W-5 P-08,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams,1,asian,black,black
MINNEAPOLIS W-5 P-08,Blong Yang,Cathy Spann,,1,asian,black,
MINNEAPOLIS W-5 P-08,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Blong Yang,,1,black,asian,
MINNEAPOLIS W-5 P-03,Blong Yang,Raeisha (RA) Williams,Cathy Spann,1,asian,black,black
MINNEAPOLIS W-5 P-03,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Blong Yang,Cathy Spann,1,black,asian,black
MINNEAPOLIS W-5 P-03,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Blong Yang,,1,black,asian,
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Raeisha (RA) Williams,UWI,1,black,black,
MINNEAPOLIS W-5 P-03,Raeisha (RA) Williams,Jeremiah Ellison,Cathy Spann,1,black,black,black
MINNEAPOLIS W-5 P-03,Blong Yang,Jeremiah Ellison,Cathy Spann,1,asian,black,black
MINNEAPOLIS W-5 P-03,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Cathy Spann,UWI,1,black,black,
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,,,1,black,,
MINNEAPOLIS W-5 P-03,Blong Yang,Jeremiah Ellison,Cathy Spann,1,asian,black,black
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,black,black,black
MINNEAPOLIS W-5 P-03,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams,1,asian,black,black
MINNEAPOLIS W-5 P-03,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-03,Blong Yang,Jeremiah Ellison,,1,asian,black,
MINNEAPOLIS W-5 P-03,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-03,Raeisha (RA) Williams,Cathy Spann,Blong Yang,1,black,black,asian
MINNEAPOLIS W-5 P-03,Blong Yang,Raeisha (RA) Williams,Jeremiah Ellison,1,asian,black,black
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams,1,black,asian,black
MINNEAPOLIS W-5 P-03,Blong Yang,Jeremiah Ellison,,1,asian,black,
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,black,black,asian
MINNEAPOLIS W-5 P-03,Blong Yang,Jeremiah Ellison,Cathy Spann,1,asian,black,black
MINNEAPOLIS W-5 P-03,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-03,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-05,Raeisha (RA) Williams,Blong Yang,Jeremiah Ellison,1,black,asian,black
MINNEAPOLIS W-5 P-04,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,black,black,black
MINNEAPOLIS W-5 P-04,Blong Yang,Cathy Spann,Raeisha (RA) Williams,1,asian,black,black
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,Cathy Spann,UWI,1,black,black,
MINNEAPOLIS W-5 P-05,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,Blong Yang,,1,black,asian,
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,Blong Yang,Cathy Spann,1,black,asian,black
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams,1,black,asian,black
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,black,black,asian
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,,,1,black,,
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams,1,black,asian,black
MINNEAPOLIS W-5 P-05,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,,,1,black,,
MINNEAPOLIS W-5 P-05,Blong Yang,Cathy Spann,Raeisha (RA) Williams,1,asian,black,black
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,Blong Yang,,1,black,asian,
MINNEAPOLIS W-5 P-05,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-05,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-08,Blong Yang,Raeisha (RA) Williams,Jeremiah Ellison,1,asian,black,black
MINNEAPOLIS W-5 P-07,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,black,black,asian
MINNEAPOLIS W-5 P-07,Jeremiah Ellison,Blong Yang,,1,black,asian,
MINNEAPOLIS W-5 P-07,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-07,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams,1,asian,black,black
MINNEAPOLIS W-5 P-09,Raeisha (RA) Williams,,,1,black,,
MINNEAPOLIS W-5 P-09,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,,,1,black,,
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,black,black,asian
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,,,1,black,,
MINNEAPOLIS W-5 P-09,Cathy Spann,,,1,black,,
MINNEAPOLIS W-5 P-09,Raeisha (RA) Williams,,,1,black,,
MINNEAPOLIS W-5 P-09,Cathy Spann,Blong Yang,Jeremiah Ellison,1,black,asian,black
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,black,black,black
MINNEAPOLIS W-5 P-09,Cathy Spann,Blong Yang,Jeremiah Ellison,1,black,asian,black
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,,,1,black,,
MINNEAPOLIS W-5 P-09,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-09,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams,1,asian,black,black
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,,,1,black,,
MINNEAPOLIS W-5 P-09,Raeisha (RA) Williams,Jeremiah Ellison,Blong Yang,1,black,black,asian
MINNEAPOLIS W-5 P-09,Cathy Spann,Blong Yang,Jeremiah Ellison,1,black,asian,black
MINNEAPOLIS W-5 P-09,Blong Yang,,,1,asian,,
MINNEAPOLIS W-5 P-09,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams,1,asian,black,black
MINNEAPOLIS W-5 P-09,Cathy Spann,Blong Yang,Jeremiah Ellison,1,black,asian,black
