Precinct,1ST CHOICE COUNCIL MEMBER WARD NINE WARD 9,2ND CHOICE COUNCIL MEMBER WARD NINE WARD 9,3RD CHOICE COUNCIL MEMBER WARD NINE WARD 9,COUNT,1ST CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race,2ND CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race,3RD CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race
MINNEAPOLIS W-9 P-01,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,TY MOORE,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-04,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-01,TY MOORE,CHARLES CURTIS,GREGORY MCDONALD,1,white,white,white
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1,hispanic,black,white
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-08,GREGORY MCDONALD,,,1,white,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,CHARLES CURTIS,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-07,ALONDRA CANO,ABDI ABDULLE,,1,hispanic,black,
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-06,PAT FLEETHAM,,,1,white,,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,PAT FLEETHAM,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-06,ALONDRA CANO,ABDI ABDULLE,,1,hispanic,black,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-05,TY MOORE,PAT FLEETHAM,GREGORY MCDONALD,1,white,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-03,ALONDRA CANO,PAT FLEETHAM,GREGORY MCDONALD,1,hispanic,white,white
MINNEAPOLIS W-9 P-06,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,PAT FLEETHAM,GREGORY MCDONALD,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,ABDI ABDULLE,TY MOORE,1,white,black,white
MINNEAPOLIS W-9 P-07,PAT FLEETHAM,TY MOORE,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1,white,hispanic,white
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-03,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-03,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1,white,hispanic,black
MINNEAPOLIS W-9 P-03,,,,1,,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
MINNEAPOLIS W-9 P-03,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,PAT FLEETHAM,CHARLES CURTIS,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1,hispanic,white,black
